x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
9791,9831,9796,9829,9805,9829,9823,9831,9816,9823
9304,9472,9502,9607,9641,9691,9719,9757,9773,9789
8852,9104,9303,9470,9528,9646,9666,9744,9753,9780
8370,8857,9182,9383,9496,9593,9684,9720,9757,9786
8062,8705,9110,9319,9483,9570,9682,9707,9794,9796
7798,8606,9079,9311,9461,9527,9653,9690,9750,9789
7551,8500,8941,9249,9456,9555,9668,9671,9741,9765
7416,8433,8940,9232,9455,9546,9644,9713,9756,9777
7285,8325,8882,9251,9474,9559,9683,9718,9746,9783
7168,8334,8780,9258,9432,9563,9666,9715,9763,9798
7049,8268,8791,9275,9408,9549,9671,9725,9741,9756
6995,8203,8835,9243,9422,9530,9674,9730,9726,9775
6976,8263,8868,9190,9463,9578,9641,9751,9729,9781
6916,8220,8814,9182,9487,9548,9642,9713,9756,9785
6895,8247,8850,9239,9434,9591,9652,9729,9743,9786
6867,8161,8867,9192,9416,9577,9676,9700,9756,9775
6855,8170,8835,9220,9441,9529,9678,9735,9724,9786
6823,8131,8852,9223,9434,9569,9660,9721,9717,9775
6859,8156,8789,9233,9457,9562,9644,9739,9743,9796
6813,8222,8833,9253,9440,9559,9639,9687,9755,9755
6791,8182,8875,9193,9468,9566,9630,9718,9745,9778
6783,8211,8909,9221,9468,9615,9644,9729,9747,9798
6764,8129,8868,9226,9486,9562,9691,9682,9750,9767
6765,8188,8834,9200,9444,9544,9663,9700,9733,9747
6793,8211,8862,9234,9441,9606,9673,9688,9737,9814
6774,8189,8897,9262,9434,9520,9675,9708,9755,9777
6762,8249,8885,9198,9430,9547,9669,9709,9742,9808
6734,8241,8860,9254,9478,9562,9656,9726,9766,9771
6790,8240,8821,9236,9440,9572,9641,9714,9758,9785
6815,8212,8883,9222,9427,9525,9687,9714,9755,9766
6680,8215,8844,9196,9390,9561,9653,9683,9765,9767
6595,8199,8829,9185,9389,9533,9684,9721,9737,9795
6610,8190,8813,9211,9382,9566,9663,9736,9714,9761
6656,8271,8845,9212,9447,9583,9703,9729,9753,9769
6726,8235,8878,9273,9431,9572,9654,9668,9749,9778
6750,8231,8863,9294,9435,9580,9622,9700,9769,9764
6704,8256,8895,9254,9427,9566,9654,9676,9778,9781
6691,8284,8922,9242,9419,9583,9635,9693,9781,9781
6651,8259,8842,9184,9474,9562,9633,9714,9747,9790
6594,8195,8930,9225,9461,9568,9680,9745,9764,9769
6662,8231,8840,9214,9454,9585,9696,9713,9709,9773
6601,8167,8865,9236,9413,9583,9697,9733,9727,9774
6631,8189,8864,9225,9425,9575,9637,9703,9742,9771
6547,8186,8915,9213,9404,9562,9633,9687,9758,9777
6585,8134,8896,9288,9464,9569,9620,9704,9764,9774
6601,8167,8895,9284,9445,9559,9691,9732,9739,9764
6607,8119,8885,9257,9441,9563,9674,9729,9751,9775
6609,8128,8873,9291,9450,9533,9617,9698,9756,9778
6548,8136,8868,9213,9467,9580,9675,9677,9731,9766
6630,8103,8903,9225,9448,9573,9640,9689,9746,9749
6634,8096,8875,9204,9413,9571,9681,9712,9744,9776
6667,8095,8850,9240,9413,9528,9673,9713,9721,9775
6671,8178,8862,9186,9403,9608,9650,9736,9746,9777
6682,8195,8863,9188,9439,9576,9682,9703,9755,9776
6606,8251,8900,9217,9400,9607,9663,9718,9735,9759
6611,8213,8875,9184,9409,9539,9661,9717,9723,9781
6588,8191,8882,9182,9476,9548,9649,9748,9754,9798
6600,8193,8947,9202,9422,9608,9661,9703,9745,9777
6616,8221,8904,9232,9434,9577,9645,9701,9754,9785
6584,8236,8947,9211,9431,9565,9647,9702,9767,9780
6584,8205,8898,9177,9436,9535,9671,9695,9798,9792
6569,8241,8909,9215,9438,9566,9663,9697,9758,9760
6535,8196,8878,9234,9412,9566,9644,9711,9755,9772
6542,8209,8829,9265,9436,9537,9663,9742,9751,9780
6521,8184,8864,9227,9465,9534,9677,9721,9769,9761
6485,8201,8894,9203,9435,9555,9676,9699,9756,9784
6552,8200,8938,9160,9418,9582,9646,9739,9776,9790
6594,8207,8898,9206,9402,9549,9639,9728,9771,9773
6628,8209,8891,9189,9397,9566,9636,9713,9782,9787
6550,8182,8876,9208,9386,9532,9662,9737,9774,9789
6534,8194,8847,9243,9406,9590,9659,9724,9779,9780
6483,8185,8889,9256,9425,9550,9652,9703,9755,9776
6535,8203,8881,9248,9443,9562,9654,9716,9782,9787
6606,8205,8882,9228,9428,9551,9650,9695,9751,9747
6624,8151,8867,9171,9417,9552,9664,9712,9759,9792
6533,8141,8876,9167,9457,9593,9631,9707,9771,9782
6551,8182,8880,9181,9463,9531,9667,9662,9766,9794
6572,8177,8888,9206,9463,9572,9667,9657,9738,9797
6573,8180,8861,9165,9423,9585,9648,9728,9741,9780
6572,8230,8902,9172,9437,9560,9639,9694,9747,9773
6595,8192,8912,9178,9421,9537,9644,9685,9749,9772
6649,8171,8887,9231,9430,9558,9653,9696,9726,9740
6656,8162,8835,9201,9464,9556,9668,9714,9750,9775
6706,8179,8827,9193,9471,9585,9668,9728,9732,9764
6659,8091,8835,9275,9420,9564,9645,9677,9749,9809
6586,8145,8857,9256,9428,9578,9635,9755,9753,9785
