T,m
1.0,0.997865
1.0252525252525253,0.9982182
1.0505050505050506,0.9978967
1.0757575757575757,0.99785763
1.101010101010101,0.9969484
1.1262626262626263,0.9971211
1.1515151515151516,0.9969132
1.1767676767676767,0.99694276
1.202020202020202,0.9960589
1.2272727272727273,0.9942717
1.2525252525252526,0.9952169
1.2777777777777777,0.9945834
1.303030303030303,0.9934118
1.3282828282828283,0.9931465
1.3535353535353536,0.99226993
1.378787878787879,0.9908908
1.404040404040404,0.9906549
1.4292929292929293,0.98931795
1.4545454545454546,0.98798454
1.47979797979798,0.9861322
1.505050505050505,0.9853172
1.5303030303030303,0.98453873
1.5555555555555556,0.9824684
1.5808080808080809,0.9815199
1.606060606060606,0.9790655
1.6313131313131313,0.9770854
1.6565656565656566,0.975713
1.6818181818181819,0.97279143
1.707070707070707,0.9711793
1.7323232323232323,0.96746844
1.7575757575757576,0.9660832
1.7828282828282829,0.96319777
1.8080808080808082,0.96072847
1.8333333333333333,0.9560867
1.8585858585858586,0.9540449
1.8838383838383839,0.9506553
1.9090909090909092,0.94704115
1.9343434343434343,0.9434436
1.9595959595959596,0.9387677
1.9848484848484849,0.9342345
2.01010101010101,0.93016404
2.0353535353535355,0.92561173
2.0606060606060606,0.92065173
2.085858585858586,0.9154502
2.111111111111111,0.90956587
2.1363636363636362,0.90344316
2.1616161616161618,0.8981433
2.186868686868687,0.89141804
2.212121212121212,0.884736
2.2373737373737375,0.8774479
2.2626262626262625,0.87036437
2.287878787878788,0.8622615
2.313131313131313,0.85389584
2.3383838383838382,0.84640825
2.3636363636363638,0.8373421
2.388888888888889,0.8283706
2.414141414141414,0.81884074
2.4393939393939394,0.8091962
2.4646464646464645,0.79778814
2.48989898989899,0.7865604
2.515151515151515,0.7731384
2.54040404040404,0.76149887
2.5656565656565657,0.7487939
2.590909090909091,0.73614293
2.6161616161616164,0.7197641
2.6414141414141414,0.70583373
2.6666666666666665,0.69090915
2.691919191919192,0.6733705
2.717171717171717,0.6548889
2.742424242424242,0.6380605
2.7676767676767677,0.61471266
2.792929292929293,0.5972633
2.8181818181818183,0.572742
2.8434343434343434,0.55156374
2.8686868686868685,0.51956356
2.893939393939394,0.4955055
2.919191919191919,0.46423215
2.9444444444444446,0.43020585
2.9696969696969697,0.39246443
2.994949494949495,0.3485471
3.0202020202020203,0.29598725
3.0454545454545454,0.1960248
3.0707070707070705,0.00073682
3.095959595959596,0.0274062
3.121212121212121,0.00773232
3.1464646464646466,0.0058346
3.1717171717171717,0.00489706
3.196969696969697,0.0037526
3.2222222222222223,0.00060618
3.2474747474747474,0.00382676
3.272727272727273,0.00217366
3.297979797979798,0.00098792
3.323232323232323,0.00060752
3.3484848484848486,0.0002745
3.3737373737373737,0.00213774
3.398989898989899,0.0020263
3.4242424242424243,0.0006435
3.4494949494949494,0.00033276
3.474747474747475,0.00061818
3.5,0.00237838
