eps,varL
0.005,1308.3163549653618
0.01,2064.7906021275244
0.015,2323.3261755567223
0.02,2787.6892595885874
0.025,3182.0000799680065
0.03,3180.1217309827384
0.035,3759.3581517249727
0.04,3497.835836871826
0.045,3391.1775662863834
0.05,3348.9817000807107
0.1,3024.472114655251
0.2,2007.66149837419
0.3,1295.325439851041
0.4,882.803401967076
0.5,685.6260187274705
0.6,501.2583187021861
0.7,398.87147473524794
0.8,314.09523910055145
0.9,265.8848726955392
1.0,223.81584087101496
