N100,N300,N1000,N3000,N10000
5,11,24,51,153
5,11,24,51,153
5,11,24,51,153
5,11,24,51,152
5,11,24,51,151
5,11,24,51,151
5,11,24,51,151
5,11,24,51,151
5,11,24,51,150
5,11,24,51,149
5,11,24,51,148
5,11,24,51,147
5,11,24,51,147
5,11,24,51,146
5,11,24,51,145
5,11,24,51,145
5,11,24,51,145
5,11,24,51,145
5,11,24,51,145
5,11,24,51,144
5,11,24,51,144
5,11,24,51,144
5,11,24,51,144
5,11,24,50,143
5,11,24,50,143
5,11,24,50,143
5,11,24,49,142
5,11,24,49,142
5,11,24,49,142
5,11,24,48,142
5,11,24,48,141
5,11,24,48,141
5,11,24,48,141
5,10,24,47,141
5,10,24,47,141
5,10,24,47,141
5,10,24,47,141
5,10,24,47,141
5,10,23,47,140
5,10,23,47,140
5,10,23,47,140
5,10,23,47,140
5,10,23,47,139
5,10,23,47,139
5,10,23,47,139
5,10,23,47,137
5,10,23,47,137
5,10,23,47,137
5,10,23,47,137
5,10,23,47,137
5,10,23,47,135
5,10,23,47,134
5,10,23,47,134
5,10,23,47,134
5,10,23,47,134
5,10,23,47,134
5,10,23,47,134
5,10,23,47,133
5,10,23,47,133
5,10,22,47,133
5,10,22,47,132
5,10,22,47,132
5,10,22,47,132
5,10,22,47,132
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,131
5,10,22,47,130
5,10,22,47,130
5,10,22,47,130
5,10,22,47,130
5,10,22,47,130
5,10,22,47,129
5,10,22,47,129
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,128
5,10,22,47,127
5,10,22,47,127
5,10,22,47,127
5,10,22,47,127
5,10,22,47,127
5,10,22,47,127
5,10,22,47,127
5,10,22,47,126
5,10,22,47,126
5,10,22,47,126
5,10,22,47,125
5,10,22,47,125
5,10,22,47,124
5,10,22,47,124
5,10,22,47,124
5,10,22,47,123
5,10,22,47,123
5,10,22,47,123
5,10,22,47,123
5,10,22,47,122
5,10,22,47,122
5,10,22,47,121
5,10,22,47,121
5,10,22,46,121
5,10,22,46,121
5,10,22,46,121
5,10,22,46,121
5,10,22,46,121
5,10,22,46,121
5,10,22,46,121
5,10,22,45,121
5,10,22,45,121
5,10,22,45,121
5,10,22,45,121
5,10,22,45,121
5,10,22,45,121
5,10,22,44,121
5,10,22,44,121
5,10,22,44,121
5,10,22,44,120
5,10,22,44,120
5,10,22,44,120
5,10,22,44,120
5,10,22,44,120
5,10,22,44,120
5,10,22,44,120
5,10,22,43,120
5,10,22,43,119
5,10,22,43,119
5,10,22,43,119
5,10,22,43,119
5,10,22,43,119
5,10,22,43,118
5,10,22,43,118
5,10,22,43,118
5,10,22,43,118
5,10,22,43,118
5,10,22,43,118
5,10,22,43,116
5,10,22,43,116
5,10,22,43,116
