N100,N300,N1000,N3000,N10000
99,291,980,2940,9812
89,270,915,2766,9213
85,252,824,2532,8438
78,230,767,2322,7705
70,211,696,2143,7074
65,198,638,1977,6529
57,181,604,1855,6082
56,174,551,1740,5643
53,164,521,1619,5282
51,151,484,1521,4975
49,147,450,1426,4684
45,140,428,1352,4421
41,135,404,1279,4197
39,127,383,1205,3977
39,121,368,1146,3786
39,118,355,1097,3617
39,113,342,1061,3450
38,110,327,1019,3314
38,105,316,984,3180
38,101,304,941,3049
38,100,295,895,2930
36,98,288,867,2836
35,95,276,838,2727
33,94,267,810,2629
32,93,256,788,2551
32,90,250,757,2459
31,89,245,735,2387
31,86,237,712,2339
31,83,232,691,2267
31,82,228,665,2215
31,77,224,648,2167
29,76,218,632,2099
28,75,214,617,2042
28,73,212,609,1980
28,71,207,591,1930
26,69,203,569,1881
26,67,201,552,1844
25,66,198,542,1802
22,65,195,531,1769
22,63,193,520,1729
21,62,188,511,1687
21,60,184,503,1645
21,60,181,490,1609
20,60,178,479,1588
20,58,173,467,1553
20,57,167,457,1517
20,57,165,445,1495
20,57,161,437,1466
20,57,161,429,1448
20,57,156,425,1434
20,57,153,416,1412
20,57,152,404,1387
20,56,152,400,1359
20,55,150,388,1339
20,54,147,379,1318
19,53,143,375,1297
19,53,141,365,1279
19,53,137,361,1264
19,53,137,355,1247
18,53,134,350,1236
18,52,133,344,1222
18,52,130,339,1204
18,52,128,328,1186
18,51,128,327,1170
18,51,126,323,1156
18,51,126,317,1139
18,51,125,315,1124
18,51,124,307,1109
18,50,121,303,1087
17,50,118,300,1076
17,50,118,297,1057
17,50,117,296,1050
17,50,117,293,1037
17,50,113,293,1028
17,49,113,291,1016
17,49,112,290,1008
17,49,110,289,999
17,47,108,288,988
16,46,103,286,977
16,45,103,282,962
16,45,103,278,948
16,45,102,275,931
16,45,102,273,922
16,45,102,270,908
16,45,101,269,898
16,45,101,267,889
16,45,101,264,882
16,43,101,261,875
16,43,101,258,867
16,43,100,254,854
16,43,100,251,843
16,43,98,250,838
16,43,98,248,830
16,42,97,248,824
16,42,96,246,818
16,42,96,246,814
16,42,93,240,808
16,42,93,238,800
16,41,92,236,793
16,39,92,233,785
16,39,92,230,778
16,39,91,228,768
15,39,91,227,762
15,38,91,223,757
15,38,90,223,745
15,38,90,221,740
15,37,90,220,737
15,37,88,218,729
15,36,87,218,726
15,36,87,217,720
15,36,86,217,712
15,36,86,213,703
15,36,86,209,697
15,36,86,209,687
15,36,84,207,679
15,36,83,206,673
15,36,81,203,665
15,36,81,199,660
15,36,81,198,658
15,36,81,198,652
15,36,81,196,647
