t,m
345.0,0.0856
346.0,0.0934
347.0,0.0506
348.0,0.0688
349.0,0.0268
350.0,0.063
351.0,0.0414
352.0,-0.0314
353.0,-0.1738
354.0,-0.1298
355.0,-0.0554
356.0,-0.1522
357.0,-0.1306
358.0,-0.1424
359.0,-0.1662
360.0,-0.1192
361.0,-0.086
362.0,-0.0372
363.0,-0.1638
364.0,-0.0934
365.0,-0.0566
366.0,-0.001
367.0,0.034
368.0,0.0484
369.0,0.0948
370.0,0.1346
371.0,0.0752
372.0,-0.0232
373.0,-0.0562
374.0,0.062
375.0,-0.0024
376.0,0.0342
377.0,0.018
378.0,0.0318
379.0,0.143
380.0,0.033
381.0,0.0616
382.0,0.0332
383.0,-0.013
384.0,-0.0116
385.0,-0.0238
386.0,0.0692
387.0,-0.0156
388.0,-0.0254
389.0,0.0662
390.0,0.0864
391.0,-0.0204
392.0,-0.1362
393.0,-0.1232
394.0,-0.1536
395.0,-0.1254
396.0,-0.0206
397.0,-0.0112
398.0,-0.1122
399.0,0.0054
400.0,0.1588
401.0,0.1402
402.0,0.058
403.0,0.0784
404.0,0.0208
405.0,-0.0144
406.0,-0.0556
407.0,-0.0068
408.0,-0.0126
409.0,-0.0002
410.0,0.0542
411.0,0.0722
412.0,0.074
413.0,-0.0096
414.0,0.0006
415.0,0.0002
416.0,-0.0266
417.0,0.0628
418.0,0.1222
419.0,0.066
420.0,0.0126
421.0,0.0094
422.0,-0.031
423.0,-0.0804
424.0,-0.0128
425.0,0.0474
426.0,0.1306
427.0,0.0238
428.0,-0.0386
429.0,-0.1028
430.0,-0.1156
431.0,-0.1282
432.0,-0.093
433.0,-0.0826
434.0,0.0166
435.0,0.0458
436.0,-0.0124
437.0,0.0146
438.0,0.0586
439.0,0.0514
440.0,0.0234
441.0,-0.0092
442.0,-0.0358
443.0,0.0104
444.0,0.0368
445.0,-0.086
446.0,-0.0102
447.0,0.0492
448.0,0.0858
449.0,0.089
450.0,0.061
451.0,0.0558
452.0,0.0642
453.0,-0.0162
454.0,0.051
455.0,0.0182
456.0,0.0414
457.0,0.075
458.0,0.1158
459.0,0.1234
460.0,0.1076
461.0,0.0838
462.0,0.1364
463.0,0.141
464.0,0.1846
465.0,0.111
466.0,0.0172
467.0,0.035
468.0,-0.0184
469.0,-0.037
470.0,-0.0578
471.0,-0.1004
472.0,-0.0822
473.0,-0.173
474.0,-0.2252
475.0,-0.1882
476.0,-0.213
477.0,-0.2372
478.0,-0.2546
479.0,-0.2792
480.0,-0.2286
481.0,-0.178
482.0,-0.1028
483.0,0.0072
484.0,0.034
485.0,0.0068
486.0,-0.0562
487.0,-0.0394
488.0,-0.0418
489.0,-0.0436
490.0,-0.0566
491.0,-0.0242
492.0,-0.1322
493.0,-0.1828
494.0,-0.186
495.0,-0.205
496.0,-0.1864
497.0,-0.1646
498.0,-0.0334
499.0,0.0658
500.0,0.081
501.0,0.1408
502.0,0.1532
503.0,0.085
504.0,0.13
505.0,0.0596
506.0,0.0622
507.0,0.1224
508.0,0.1558
509.0,0.12
510.0,0.02
511.0,0.0138
512.0,0.1132
513.0,0.2238
514.0,0.1344
515.0,0.0492
516.0,0.0486
517.0,0.0424
518.0,0.1096
519.0,0.16
520.0,0.2374
521.0,0.2284
522.0,0.3052
523.0,0.211
524.0,0.198
525.0,0.2006
526.0,0.076
527.0,0.0716
528.0,0.128
529.0,0.092
530.0,0.0978
531.0,0.1522
532.0,0.0844
533.0,0.0606
534.0,0.0282
535.0,0.0796
536.0,0.1324
537.0,0.036
538.0,0.0438
539.0,0.014
540.0,-0.0244
541.0,-0.0664
542.0,0.0162
543.0,-0.0002
544.0,0.0174
545.0,-0.0376
546.0,-0.0468
547.0,0.0726
548.0,0.008
549.0,-0.0578
550.0,-0.052
551.0,-0.0246
552.0,-0.0906
553.0,0.09
554.0,0.019
555.0,-0.0488
556.0,-0.0564
557.0,-0.0576
558.0,-0.041
559.0,-0.0812
560.0,-0.1156
561.0,-0.1688
562.0,-0.1508
563.0,-0.25
564.0,-0.1304
565.0,-0.2192
566.0,-0.2192
567.0,-0.066
568.0,0.02
569.0,-0.0364
570.0,-0.0796
571.0,-0.1024
572.0,-0.1528
573.0,-0.0944
574.0,0.0606
575.0,0.055
576.0,0.113
577.0,0.14
578.0,0.041
579.0,0.0386
580.0,0.0958
581.0,0.1598
582.0,0.1084
583.0,0.193
584.0,0.1104
585.0,0.039
586.0,0.0116
587.0,0.0678
588.0,0.0828
589.0,0.0994
590.0,0.1894
