t,m
1.0,0.0288
2.0,0.0274
3.0,0.0156
4.0,0.015
5.0,0.0072
6.0,0.0062
7.0,0.0322
8.0,0.0352
9.0,0.0178
10.0,0.0036
11.0,0.0184
12.0,0.017
13.0,0.0138
14.0,0.0014
15.0,0.0074
16.0,0.0198
17.0,0.0164
18.0,0.0126
19.0,0.0332
20.0,0.0266
21.0,0.0198
22.0,0.0056
23.0,-0.0102
24.0,-0.0118
25.0,-0.034
26.0,-0.048
27.0,-0.0412
28.0,-0.0306
29.0,-0.0386
30.0,-0.0214
31.0,0.0004
32.0,-0.0056
33.0,0.0032
34.0,0.0028
35.0,-0.0056
36.0,-0.0094
37.0,-0.0214
38.0,-0.0032
39.0,0.0062
40.0,-0.0146
41.0,-0.0258
42.0,-0.028
43.0,-0.0068
44.0,0.0008
45.0,0.0036
46.0,-0.004
47.0,-0.0068
48.0,-0.0036
49.0,-0.0044
50.0,0.007
51.0,0.0114
52.0,-0.002
53.0,0.0096
54.0,0.0232
55.0,0.0264
56.0,0.023
57.0,0.0154
58.0,0.009
59.0,0.0158
60.0,0.0222
61.0,0.0108
62.0,0.0216
63.0,0.0128
64.0,-0.0044
65.0,-0.0038
66.0,0.0014
67.0,0.0018
68.0,-0.0052
69.0,0.0152
70.0,0.0176
71.0,0.036
72.0,0.0344
73.0,0.0196
74.0,0.0068
75.0,0.0178
76.0,0.023
77.0,0.0158
78.0,0.014
79.0,0.0222
80.0,0.0314
81.0,0.0006
82.0,0.0076
83.0,-0.0032
84.0,-0.0154
85.0,0.0176
86.0,0.0358
87.0,0.05
88.0,0.0468
89.0,0.0312
90.0,0.0268
91.0,0.0166
92.0,0.0044
93.0,0.0142
94.0,0.0124
95.0,0.021
96.0,0.0086
97.0,-0.0048
98.0,-0.0184
99.0,-0.0276
100.0,-0.0174
101.0,-0.0186
102.0,-0.0098
103.0,-0.0098
104.0,-0.0018
105.0,-0.0146
106.0,-0.012
107.0,-0.0204
108.0,-0.0188
109.0,-0.0092
110.0,-0.026
111.0,-0.034
112.0,-0.016
113.0,-0.0122
114.0,0.0102
115.0,0.0126
116.0,0.0148
117.0,-0.0004
118.0,-0.0042
119.0,0.0054
120.0,-0.0026
121.0,-0.0034
122.0,0.0084
123.0,0.0162
124.0,0.0334
125.0,0.0464
126.0,0.0452
127.0,0.0398
128.0,0.0194
129.0,0.005
130.0,-0.002
131.0,-0.0006
132.0,-0.0132
133.0,-0.0092
134.0,-0.0062
135.0,-0.0014
136.0,-0.0144
137.0,-0.0082
138.0,-0.0044
139.0,-0.004
140.0,0.0036
141.0,0.0032
142.0,0.0034
143.0,0.003
144.0,0.0164
145.0,0.0124
146.0,0.021
147.0,0.0258
148.0,0.0338
149.0,0.0338
150.0,0.0438
151.0,0.0394
152.0,0.0334
153.0,0.0302
154.0,0.0402
155.0,0.034
156.0,0.0252
157.0,0.0424
158.0,0.021
159.0,0.0276
160.0,0.0146
161.0,0.0076
162.0,0.0198
163.0,0.0358
164.0,0.0122
165.0,0.0246
166.0,0.0068
167.0,0.0278
168.0,0.028
169.0,0.0232
170.0,0.0472
171.0,0.035
172.0,0.0284
173.0,0.0146
174.0,0.0214
175.0,0.0156
176.0,-0.0024
177.0,-0.007
178.0,-0.006
179.0,-0.0128
180.0,-0.0124
181.0,0.0022
182.0,0.0046
183.0,0.0056
184.0,-0.003
185.0,-0.006
186.0,-0.015
187.0,-0.0286
188.0,-0.002
189.0,-0.0066
190.0,-0.0094
191.0,-0.0272
192.0,-0.0164
193.0,-0.0246
194.0,-0.0274
195.0,-0.0112
196.0,-0.01
197.0,-0.0026
198.0,-0.0012
199.0,0.0064
200.0,0.0072
201.0,0.0028
202.0,-0.0048
203.0,0.0186
204.0,0.0152
205.0,0.0092
206.0,-0.0176
207.0,-0.012
208.0,-0.0134
209.0,-0.0182
210.0,-0.0194
211.0,-0.0002
212.0,0.0064
213.0,-0.0052
214.0,-0.0136
215.0,-0.0058
216.0,-0.0084
217.0,-0.0026
218.0,-0.0116
219.0,-0.0042
220.0,-0.0048
221.0,-0.0026
222.0,-0.0048
223.0,0.0134
224.0,0.001
225.0,-0.0002
226.0,-0.009
227.0,0.013
228.0,0.014
229.0,-0.0084
230.0,-0.0114
231.0,-0.0104
232.0,-0.0078
233.0,-0.0106
234.0,0.0112
235.0,0.001
236.0,0.0296
237.0,0.0356
238.0,0.0306
239.0,0.0318
240.0,0.029
241.0,0.0116
242.0,0.0038
243.0,-0.0026
244.0,0.0116
245.0,0.0068
246.0,-0.0108
247.0,-0.0106
248.0,-0.0244
249.0,-0.008
250.0,-0.0132
251.0,-0.0132
252.0,-0.0036
253.0,0.011
254.0,0.0068
255.0,0.018
256.0,0.0064
257.0,0.0194
258.0,0.017
259.0,0.0056
260.0,0.0026
261.0,-0.0098
262.0,0.0092
263.0,0.0224
264.0,0.0072
265.0,-0.0014
266.0,0.005
267.0,-0.0066
268.0,0.0028
269.0,0.0142
270.0,0.0178
271.0,0.0146
272.0,0.0102
273.0,0.0046
274.0,0.0206
275.0,0.0094
276.0,0.0114
277.0,0.0094
278.0,0.0134
279.0,0.006
280.0,0.002
281.0,0.0016
282.0,-0.0238
283.0,-0.0352
284.0,-0.0266
285.0,-0.024
286.0,-0.0144
287.0,-0.031
288.0,-0.0168
289.0,-0.0272
290.0,-0.014
291.0,-0.0078
292.0,-0.0018
293.0,-0.0036
294.0,-0.0112
295.0,0.0036
296.0,0.029
297.0,0.0384
298.0,0.0546
299.0,0.0392
300.0,0.0326
301.0,0.046
302.0,0.0496
303.0,0.044
304.0,0.05
305.0,0.0482
306.0,0.0416
307.0,0.0366
308.0,0.031
309.0,0.0054
310.0,0.011
311.0,0.0196
312.0,0.0202
313.0,0.011
314.0,0.0168
315.0,0.0152
316.0,0.0096
317.0,0.0116
318.0,0.0228
319.0,0.0284
320.0,0.0222
321.0,0.0286
322.0,-0.0074
323.0,-0.025
324.0,-0.0234
325.0,-0.0284
326.0,-0.03
327.0,-0.0406
328.0,-0.0434
329.0,-0.0216
330.0,-0.0072
331.0,-0.0046
332.0,-0.0126
333.0,-0.0136
334.0,-0.0178
335.0,-0.0178
336.0,-0.0088
337.0,-0.0062
338.0,-0.0182
339.0,-0.0096
340.0,-0.03
341.0,-0.0212
342.0,-0.035
343.0,-0.009
344.0,-0.0116
345.0,-0.0108
346.0,-0.0056
347.0,-0.0094
348.0,0.0086
349.0,0.0026
350.0,0.0096
351.0,0.0156
352.0,0.0228
353.0,0.033
354.0,0.0344
355.0,0.0282
356.0,0.0254
357.0,0.0084
358.0,0.003
359.0,-0.0084
360.0,-0.0232
361.0,-0.0196
362.0,-0.0186
363.0,-0.005
364.0,-0.018
365.0,-0.0092
366.0,-0.033
367.0,-0.015
368.0,-0.0072
369.0,-0.0094
370.0,-0.0264
371.0,-0.0246
372.0,-0.0192
373.0,-0.0278
374.0,-0.0266
375.0,-0.0314
376.0,-0.0016
377.0,0.0016
378.0,0.0024
379.0,0.0042
380.0,0.0074
381.0,0.006
382.0,0.0024
383.0,-0.0128
384.0,-0.0104
385.0,-0.0042
386.0,0.0106
387.0,0.019
388.0,0.0146
389.0,0.019
390.0,0.0026
391.0,0.014
392.0,0.0108
393.0,0.0014
394.0,0.012
395.0,0.0196
396.0,0.0208
397.0,0.0228
398.0,0.0284
399.0,0.0038
400.0,0.0018
401.0,0.0052
402.0,0.0128
403.0,-0.0018
404.0,0.0032
405.0,0.0138
406.0,0.0034
407.0,0.0084
408.0,0.0006
409.0,-0.0064
410.0,0.0102
411.0,0.004
412.0,-0.0066
413.0,-0.0072
414.0,-0.0144
415.0,-0.0162
416.0,0.0044
417.0,-0.0072
418.0,-0.0048
419.0,-0.022
420.0,-0.0226
421.0,-0.0232
422.0,-0.017
423.0,-0.0198
424.0,-0.0126
425.0,-0.027
426.0,-0.0202
427.0,-0.0132
428.0,-0.031
429.0,-0.0386
430.0,-0.0214
431.0,-0.0102
432.0,-0.0088
433.0,-0.0106
434.0,-0.03
435.0,-0.0184
436.0,-0.0384
437.0,-0.018
438.0,-0.005
439.0,0.0086
440.0,0.0036
441.0,-0.0042
442.0,-0.0162
443.0,-0.019
444.0,0.0072
445.0,0.0
446.0,-0.0166
447.0,0.0062
448.0,-0.0056
449.0,-0.001
450.0,0.0054
451.0,0.0162
452.0,0.0102
453.0,0.01
454.0,0.0134
455.0,0.0006
456.0,-0.0074
457.0,-0.012
458.0,-0.022
459.0,-0.017
460.0,-0.021
461.0,-0.0314
462.0,-0.0298
463.0,-0.0182
464.0,-0.0134
465.0,-0.0022
466.0,0.0078
467.0,0.0026
468.0,-0.0106
469.0,-0.0186
470.0,-0.02
471.0,-0.0488
472.0,-0.0168
473.0,-0.0114
474.0,-0.0208
475.0,-0.0158
476.0,-0.0186
477.0,-0.0178
478.0,-0.0252
479.0,-0.0124
480.0,-0.0018
481.0,-0.0028
482.0,-0.0094
483.0,-0.0172
484.0,-0.0212
485.0,-0.0266
486.0,-0.0106
487.0,-0.011
488.0,0.0
489.0,0.0084
490.0,0.0116
491.0,-0.011
492.0,-0.006
493.0,-0.0006
494.0,-0.0056
495.0,-0.0074
496.0,0.0082
497.0,0.028
498.0,0.0248
499.0,0.0192
500.0,0.0106
501.0,-0.005
502.0,0.009
503.0,0.014
504.0,0.015
505.0,-0.0024
506.0,-0.0052
507.0,0.0024
508.0,-0.0122
509.0,-0.0096
510.0,-0.0134
511.0,0.0022
512.0,0.008
513.0,0.0122
514.0,-0.0096
515.0,-0.0118
516.0,0.0086
517.0,0.0116
518.0,0.0082
519.0,-0.0002
520.0,-0.0284
521.0,-0.042
522.0,-0.039
523.0,-0.0312
524.0,-0.024
525.0,-0.0358
526.0,-0.0362
527.0,-0.044
528.0,-0.0284
529.0,-0.0196
530.0,-0.0136
531.0,0.0054
532.0,-0.0002
533.0,-0.0072
534.0,0.0048
535.0,0.0202
536.0,0.0114
537.0,0.0008
538.0,-0.0136
539.0,-0.0246
540.0,-0.024
541.0,-0.024
542.0,-0.0216
543.0,-0.022
544.0,-0.033
545.0,-0.0232
546.0,-0.0084
547.0,-0.0248
548.0,-0.0322
549.0,-0.013
550.0,0.0206
551.0,0.0126
552.0,0.0038
553.0,0.0136
554.0,0.0066
555.0,0.0042
556.0,0.0108
557.0,0.0052
558.0,0.0084
559.0,-0.001
560.0,0.0006
561.0,0.0158
562.0,-0.0036
563.0,0.0114
564.0,0.0002
565.0,0.0184
566.0,0.0308
567.0,0.0332
568.0,0.0288
569.0,0.0176
570.0,0.017
571.0,0.0054
572.0,-0.011
573.0,-0.0138
574.0,-0.0034
575.0,-0.0096
576.0,0.0044
577.0,-0.0042
578.0,-0.0014
579.0,0.0082
580.0,0.0138
581.0,0.0122
582.0,0.0092
583.0,0.012
584.0,0.0134
