z1,z12,z15,z2,z4
56,93,110,153,323
56,93,110,153,322
55,93,110,153,322
54,93,110,153,322
54,93,110,153,321
54,93,109,152,319
54,93,109,152,319
54,93,109,152,319
54,93,109,151,319
54,93,109,150,318
54,93,109,149,318
54,93,109,149,314
54,93,109,147,313
53,93,109,147,312
53,93,109,147,312
53,92,108,145,312
53,91,108,145,311
53,90,107,145,311
53,90,106,145,311
53,90,105,144,311
53,90,105,143,310
53,90,105,143,309
53,89,105,143,309
53,89,105,142,309
53,89,105,142,309
53,88,105,142,309
53,88,105,142,309
53,87,103,142,309
53,87,103,142,308
53,87,103,142,307
53,86,102,141,305
53,86,102,140,305
53,86,102,140,305
53,86,101,140,305
52,85,101,140,304
52,85,100,140,304
51,84,99,140,303
50,84,98,140,301
50,84,98,139,301
49,84,97,139,297
49,84,97,139,295
49,84,97,139,293
49,84,97,138,293
49,84,97,138,293
49,84,97,138,293
49,84,97,138,293
49,83,97,138,292
49,83,97,138,292
49,82,96,138,292
49,82,96,137,291
48,80,96,137,291
48,80,96,137,291
48,80,96,137,291
48,80,96,137,290
48,79,95,137,290
48,79,95,136,289
48,79,95,136,289
48,79,95,136,289
48,79,95,136,289
48,79,95,136,289
48,79,95,135,289
48,79,95,134,288
48,79,95,134,288
48,79,94,134,287
48,79,94,134,286
47,79,94,134,284
47,79,94,133,283
47,79,94,133,283
47,79,94,133,283
47,79,94,133,282
47,79,93,133,282
47,79,93,133,281
47,79,93,133,281
46,79,93,133,280
46,79,93,133,279
45,78,93,133,279
45,78,93,132,278
45,78,93,132,278
45,78,93,131,278
45,78,93,131,278
45,77,92,131,278
45,77,92,130,278
45,77,91,130,277
45,77,91,130,277
45,77,91,130,277
45,77,91,130,277
45,76,91,130,277
45,76,91,130,276
45,76,91,130,275
45,76,91,130,275
45,76,91,129,275
45,76,91,129,274
45,76,91,129,274
45,76,91,129,274
44,76,91,129,274
44,76,91,129,274
44,75,91,129,273
44,75,91,128,273
44,75,91,128,271
44,75,91,128,270
44,75,91,128,268
44,73,91,127,267
43,73,90,127,267
43,73,90,127,267
42,73,90,127,266
42,73,90,127,264
42,72,90,127,264
42,72,89,127,264
