t,m
342.0,-0.032
343.0,-0.0422
344.0,-0.0416
345.0,-0.041
346.0,-0.0208
347.0,-0.012
348.0,-0.0166
349.0,-0.0042
350.0,-0.0046
351.0,0.0064
352.0,0.0186
353.0,0.0176
354.0,0.031
355.0,0.0034
356.0,0.0084
357.0,0.0082
358.0,0.011
359.0,0.0152
360.0,0.0116
361.0,0.0184
362.0,0.0136
363.0,0.0104
364.0,-0.0006
365.0,-0.0118
366.0,-0.0172
367.0,-0.021
368.0,-0.0406
369.0,-0.0298
370.0,-0.021
371.0,-0.0166
372.0,-0.018
373.0,-0.0202
374.0,-0.0254
375.0,-0.0062
376.0,0.0102
377.0,0.0202
378.0,0.0396
379.0,0.0236
380.0,0.0156
381.0,0.0146
382.0,0.0104
383.0,0.0148
384.0,0.0062
385.0,0.0138
386.0,0.0198
387.0,0.0156
388.0,0.0142
389.0,0.0148
390.0,0.0134
391.0,0.009
392.0,0.0112
393.0,0.0094
394.0,-0.0046
395.0,-0.0124
396.0,-0.0194
397.0,-0.0068
398.0,-0.0262
399.0,-0.0146
400.0,-0.0184
401.0,-0.0142
402.0,-0.005
403.0,-0.0106
404.0,-0.0028
405.0,-0.006
406.0,-0.0124
407.0,-0.0192
408.0,-0.0356
409.0,-0.0484
410.0,-0.0578
411.0,-0.0526
412.0,-0.0528
413.0,-0.0492
414.0,-0.0334
415.0,-0.0104
416.0,0.0026
417.0,0.0078
418.0,-0.0052
419.0,-0.0114
420.0,-0.0162
421.0,-0.0258
422.0,-0.0118
423.0,0.007
424.0,0.018
425.0,0.021
426.0,0.0156
427.0,0.003
428.0,0.001
429.0,0.0266
430.0,0.023
431.0,0.016
432.0,0.0252
433.0,0.0262
434.0,0.0326
435.0,0.0322
436.0,0.0278
437.0,0.0246
438.0,0.0268
439.0,0.0332
440.0,0.0182
441.0,0.0134
442.0,0.0042
443.0,-0.008
444.0,-0.0026
445.0,-0.007
446.0,0.0
447.0,-0.0046
448.0,-0.0032
449.0,-0.0082
450.0,-0.0124
451.0,0.0004
452.0,0.0002
453.0,0.006
454.0,0.0172
455.0,0.026
456.0,0.0174
457.0,0.0142
458.0,0.0082
459.0,-0.0068
