eps,L
0.005,1150.5350929814037
0.01,1815.5876824635072
0.015,2379.9064187162567
0.02,2860.3349330133974
0.025,3276.098580283943
0.03,3655.129774045191
0.035,3983.3177364527096
0.04,4297.01399720056
0.045,4561.935212957408
0.05,4826.8378324335135
0.1,6594.751849630074
0.2,8175.339332133573
0.3,8877.25274945011
0.4,9236.323135372926
0.5,9436.156368726255
0.6,9566.444511097781
0.7,9655.670865826834
0.8,9712.067386522696
0.9,9751.230953809238
1.0,9778.01399720056
